company_id,type,rule_triggered,text,confidence_pct
ABB,pro,ROE_GT_20,Company has delivered superior Return on Equity of 32.5%,95
ABB,pro,ROCE_GT_20,Strong capital efficiency with ROCE at 36.5%,90
ABB,pro,POSITIVE_FCF,"Generates positive Free Cash Flow of ₹1,095 Cr",92
ABB,pro,PAT_CAGR_GT_15,Robust profit growth compounding at 21.7% CAGR over 5 years,88
ABB,pro,HIGH_CFO_PAT,High cash conversion quality with CFO exceeding reported net profit,85
ABB,pro,HEALTHY_OPM,Healthy operating margin of 24.8%,85
ABB,con,PREMIUM_VALUATION,Trades at an elevated valuation multiple of 75.6x P/E (SIMULATED),80
ABB,con,HIGH_WC_DAYS,Working capital cycle is extended at 221 days,78
ABB,con,HIGH_CAPEX_INTENSITY,High CapEx intensity (84.5% of sales) requires continuous capital deployment,75
ADANIENSOL,pro,POSITIVE_FCF,"Generates positive Free Cash Flow of ₹1,095 Cr",92
ADANIENSOL,pro,REV_CAGR_GT_12,Steady revenue growth compounding at 17.9% CAGR over 5 years,88
ADANIENSOL,pro,PAT_CAGR_GT_15,Robust profit growth compounding at 16.4% CAGR over 5 years,88
ADANIENSOL,pro,HIGH_CFO_PAT,High cash conversion quality with CFO exceeding reported net profit,85
ADANIENSOL,pro,HEALTHY_OPM,Healthy operating margin of 34.4%,85
ADANIENSOL,con,HIGH_LEVERAGE,Elevated leverage with Debt-to-Equity ratio of 2.93x,92
ADANIENSOL,con,LOW_ROE,"Subdued Return on Equity at 9.5%, below large-cap historical averages",88
ADANIENSOL,con,LOW_ICR,Low interest coverage of 2.3x reflects interest burden on operating profit,85
ADANIENSOL,con,PREMIUM_VALUATION,Trades at an elevated valuation multiple of 58.5x P/E (SIMULATED),80
ADANIENSOL,con,HIGH_WC_DAYS,Working capital cycle is extended at 154 days,78
ADANIENSOL,con,HIGH_CAPEX_INTENSITY,High CapEx intensity (29.8% of sales) requires continuous capital deployment,75
ADANIENT,pro,REV_CAGR_GT_12,Steady revenue growth compounding at 19.0% CAGR over 5 years,88
ADANIENT,pro,PAT_CAGR_GT_15,Robust profit growth compounding at 45.8% CAGR over 5 years,88
ADANIENT,pro,HIGH_CFO_PAT,High cash conversion quality with CFO exceeding reported net profit,85
ADANIENT,con,NEGATIVE_FCF,"Free cash flow is negative at ₹-8,455 Cr due to heavy reinvestment/working capital",90
ADANIENT,con,LOW_ROE,"Subdued Return on Equity at 8.5%, below large-cap historical averages",88
ADANIENT,con,PREMIUM_VALUATION,Trades at an elevated valuation multiple of 58.9x P/E (SIMULATED),80
ADANIENT,con,HIGH_CAPEX_INTENSITY,High CapEx intensity (19.5% of sales) requires continuous capital deployment,75
ADANIGREEN,pro,REV_CAGR_GT_12,Steady revenue growth compounding at 35.0% CAGR over 5 years,88
ADANIGREEN,pro,HIGH_CFO_PAT,High cash conversion quality with CFO exceeding reported net profit,85
ADANIGREEN,pro,HEALTHY_OPM,Healthy operating margin of 79.4%,85
ADANIGREEN,con,HIGH_LEVERAGE,Elevated leverage with Debt-to-Equity ratio of 6.60x,92
ADANIGREEN,con,NEGATIVE_FCF,"Free cash flow is negative at ₹-13,347 Cr due to heavy reinvestment/working capital",90
ADANIGREEN,con,LOW_ICR,Low interest coverage of 1.7x reflects interest burden on operating profit,85
ADANIGREEN,con,PREMIUM_VALUATION,Trades at an elevated valuation multiple of 45.3x P/E (SIMULATED),80
ADANIGREEN,con,HIGH_WC_DAYS,Working capital cycle is extended at 177 days,78
ADANIGREEN,con,HIGH_CAPEX_INTENSITY,High CapEx intensity (228.4% of sales) requires continuous capital deployment,75
ADANIPORTS,pro,POSITIVE_FCF,"Generates positive Free Cash Flow of ₹8,250 Cr",92
ADANIPORTS,pro,REV_CAGR_GT_12,Steady revenue growth compounding at 19.6% CAGR over 5 years,88
ADANIPORTS,pro,HIGH_CFO_PAT,High cash conversion quality with CFO exceeding reported net profit,85
ADANIPORTS,pro,HEALTHY_OPM,Healthy operating margin of 58.4%,85
ADANIPORTS,con,PREMIUM_VALUATION,Trades at an elevated valuation multiple of 48.9x P/E (SIMULATED),80
ADANIPORTS,con,HIGH_WC_DAYS,Working capital cycle is extended at 162 days,78
ADANIPORTS,con,HIGH_CAPEX_INTENSITY,High CapEx intensity (25.3% of sales) requires continuous capital deployment,75
ADANIPOWER,pro,ROE_GT_20,Company has delivered superior Return on Equity of 48.3%,95
ADANIPOWER,pro,POSITIVE_FCF,"Generates positive Free Cash Flow of ₹17,651 Cr",92
ADANIPOWER,pro,REV_CAGR_GT_12,Steady revenue growth compounding at 16.1% CAGR over 5 years,88
ADANIPOWER,pro,HEALTHY_OPM,Healthy operating margin of 36.2%,85
ADANIPOWER,pro,TOP_COMPOSITE_SCORE,Ranks favorably on overall composite financial health index (73.9/100),80
ADANIPOWER,con,GENERAL_MARKET_CYCLICALITY,Performance subject to sector cyclicality and broader macroeconomic fluctuations,70
AMBUJACEM,pro,PAT_CAGR_GT_15,Robust profit growth compounding at 19.5% CAGR over 5 years,88
AMBUJACEM,pro,HIGH_CFO_PAT,High cash conversion quality with CFO exceeding reported net profit,85
AMBUJACEM,pro,ATTRACTIVE_DIV_YIELD,Offers an attractive dividend yield of 3.1% (SIMULATED),82
AMBUJACEM,con,NEGATIVE_FCF,"Free cash flow is negative at ₹-3,295 Cr due to heavy reinvestment/working capital",90
AMBUJACEM,con,PREMIUM_VALUATION,Trades at an elevated valuation multiple of 55.6x P/E (SIMULATED),80
AMBUJACEM,con,HIGH_CAPEX_INTENSITY,High CapEx intensity (27.0% of sales) requires continuous capital deployment,75
APOLLOHOSP,pro,POSITIVE_FCF,Generates positive Free Cash Flow of ₹383 Cr,92
APOLLOHOSP,pro,REV_CAGR_GT_12,Steady revenue growth compounding at 14.7% CAGR over 5 years,88
APOLLOHOSP,pro,PAT_CAGR_GT_15,Robust profit growth compounding at 36.1% CAGR over 5 years,88
APOLLOHOSP,pro,HIGH_CFO_PAT,High cash conversion quality with CFO exceeding reported net profit,85
APOLLOHOSP,pro,ATTRACTIVE_DIV_YIELD,Offers an attractive dividend yield of 3.2% (SIMULATED),82
APOLLOHOSP,con,PREMIUM_VALUATION,Trades at an elevated valuation multiple of 47.7x P/E (SIMULATED),80
ASIANPAINT,pro,ROE_GT_20,Company has delivered superior Return on Equity of 29.7%,95
ASIANPAINT,pro,ROCE_GT_20,Strong capital efficiency with ROCE at 31.8%,90
ASIANPAINT,pro,POSITIVE_FCF,"Generates positive Free Cash Flow of ₹3,556 Cr",92
ASIANPAINT,pro,REV_CAGR_GT_12,Steady revenue growth compounding at 13.0% CAGR over 5 years,88
ASIANPAINT,pro,PAT_CAGR_GT_15,Robust profit growth compounding at 20.3% CAGR over 5 years,88
ASIANPAINT,pro,HIGH_CFO_PAT,High cash conversion quality with CFO exceeding reported net profit,85
ASIANPAINT,pro,ATTRACTIVE_DIV_YIELD,Offers an attractive dividend yield of 2.4% (SIMULATED),82
ASIANPAINT,pro,HEALTHY_OPM,Healthy operating margin of 21.4%,85
ASIANPAINT,con,PREMIUM_VALUATION,Trades at an elevated valuation multiple of 73.4x P/E (SIMULATED),80
ATGL,pro,REV_CAGR_GT_12,Steady revenue growth compounding at 21.1% CAGR over 5 years,88
ATGL,pro,PAT_CAGR_GT_15,Robust profit growth compounding at 23.9% CAGR over 5 years,88
ATGL,pro,HEALTHY_OPM,Healthy operating margin of 24.7%,85
ATGL,con,PREMIUM_VALUATION,Trades at an elevated valuation multiple of 57.0x P/E (SIMULATED),80
AXISBANK,pro,REV_CAGR_GT_12,Steady revenue growth compounding at 14.7% CAGR over 5 years,88
AXISBANK,pro,PAT_CAGR_GT_15,Robust profit growth compounding at 39.7% CAGR over 5 years,88
AXISBANK,pro,ATTRACTIVE_DIV_YIELD,Offers an attractive dividend yield of 2.3% (SIMULATED),82
AXISBANK,con,NEGATIVE_FCF,"Free cash flow is negative at ₹-14,556 Cr due to heavy reinvestment/working capital",90
AXISBANK,con,LOW_CFO_PAT,"Low cash conversion (CFO/PAT = -0.22), suggesting accrual buildup",80
BAJAJ-AUTO,pro,ROE_GT_20,Company has delivered superior Return on Equity of 26.6%,95
BAJAJ-AUTO,pro,ROCE_GT_20,Strong capital efficiency with ROCE at 27.2%,90
BAJAJ-AUTO,pro,POSITIVE_FCF,"Generates positive Free Cash Flow of ₹6,486 Cr",92
BAJAJ-AUTO,pro,ATTRACTIVE_DIV_YIELD,Offers an attractive dividend yield of 3.6% (SIMULATED),82
BAJAJ-AUTO,con,GENERAL_MARKET_CYCLICALITY,Performance subject to sector cyclicality and broader macroeconomic fluctuations,70
BAJAJFINSV,pro,ROE_GT_20,Company has delivered superior Return on Equity of 25.9%,95
BAJAJFINSV,pro,REV_CAGR_GT_12,Steady revenue growth compounding at 21.0% CAGR over 5 years,88
BAJAJFINSV,pro,PAT_CAGR_GT_15,Robust profit growth compounding at 23.8% CAGR over 5 years,88
BAJAJFINSV,pro,ATTRACTIVE_DIV_YIELD,Offers an attractive dividend yield of 2.6% (SIMULATED),82
BAJAJFINSV,con,NEGATIVE_FCF,"Free cash flow is negative at ₹-79,634 Cr due to heavy reinvestment/working capital",90
BAJAJFINSV,con,LOW_CFO_PAT,"Low cash conversion (CFO/PAT = -4.40), suggesting accrual buildup",80
BAJAJHLDNG,pro,DEBT_FREE,Company is virtually debt-free with zero borrowings,98
BAJAJHLDNG,pro,POSITIVE_FCF,"Generates positive Free Cash Flow of ₹1,469 Cr",92
BAJAJHLDNG,pro,REV_CAGR_GT_12,Steady revenue growth compounding at 31.6% CAGR over 5 years,88
BAJAJHLDNG,pro,PAT_CAGR_GT_15,Robust profit growth compounding at 19.3% CAGR over 5 years,88
BAJAJHLDNG,pro,ATTRACTIVE_DIV_YIELD,Offers an attractive dividend yield of 3.4% (SIMULATED),82
BAJAJHLDNG,con,LOW_CFO_PAT,"Low cash conversion (CFO/PAT = 0.26), suggesting accrual buildup",80
BAJFINANCE,pro,REV_CAGR_GT_12,Steady revenue growth compounding at 24.4% CAGR over 5 years,88
BAJFINANCE,pro,PAT_CAGR_GT_15,Robust profit growth compounding at 29.3% CAGR over 5 years,88
BAJFINANCE,con,NEGATIVE_FCF,"Free cash flow is negative at ₹-79,931 Cr due to heavy reinvestment/working capital",90
BAJFINANCE,con,LOW_CFO_PAT,"Low cash conversion (CFO/PAT = -5.03), suggesting accrual buildup",80
BAJFINANCE,con,PREMIUM_VALUATION,Trades at an elevated valuation multiple of 69.2x P/E (SIMULATED),80
BANKBARODA,pro,REV_CAGR_GT_12,Steady revenue growth compounding at 17.5% CAGR over 5 years,88
BANKBARODA,pro,PAT_CAGR_GT_15,Robust profit growth compounding at 74.5% CAGR over 5 years,88
BANKBARODA,pro,ATTRACTIVE_DIV_YIELD,Offers an attractive dividend yield of 2.6% (SIMULATED),82
BANKBARODA,con,NEGATIVE_FCF,"Free cash flow is negative at ₹-7,559 Cr due to heavy reinvestment/working capital",90
BANKBARODA,con,LOW_CFO_PAT,"Low cash conversion (CFO/PAT = -0.33), suggesting accrual buildup",80
BEL,pro,ROE_GT_20,Company has delivered superior Return on Equity of 4744.1%,95
BEL,pro,ROCE_GT_20,Strong capital efficiency with ROCE at 3628.3%,90
BEL,pro,PAT_CAGR_GT_15,Robust profit growth compounding at 16.1% CAGR over 5 years,88
BEL,pro,HIGH_CFO_PAT,High cash conversion quality with CFO exceeding reported net profit,85
BEL,pro,HEALTHY_OPM,Healthy operating margin of 24.9%,85
BEL,con,NEGATIVE_FCF,"Free cash flow is negative at ₹-1,265 Cr due to heavy reinvestment/working capital",90
BEL,con,HIGH_CAPEX_INTENSITY,High CapEx intensity (29.2% of sales) requires continuous capital deployment,75
BHARTIARTL,pro,POSITIVE_FCF,"Generates positive Free Cash Flow of ₹27,809 Cr",92
BHARTIARTL,pro,REV_CAGR_GT_12,Steady revenue growth compounding at 13.2% CAGR over 5 years,88
BHARTIARTL,pro,PAT_CAGR_GT_15,Robust profit growth compounding at 38.4% CAGR over 5 years,88
BHARTIARTL,pro,HIGH_CFO_PAT,High cash conversion quality with CFO exceeding reported net profit,85
BHARTIARTL,pro,HEALTHY_OPM,Healthy operating margin of 52.2%,85
BHARTIARTL,con,HIGH_LEVERAGE,Elevated leverage with Debt-to-Equity ratio of 2.61x,92
BHARTIARTL,con,PREMIUM_VALUATION,Trades at an elevated valuation multiple of 63.8x P/E (SIMULATED),80
BHARTIARTL,con,HIGH_CAPEX_INTENSITY,High CapEx intensity (34.1% of sales) requires continuous capital deployment,75
BHEL,pro,ATTRACTIVE_DIV_YIELD,Offers an attractive dividend yield of 4.0% (SIMULATED),82
BHEL,con,NEGATIVE_FCF,"Free cash flow is negative at ₹-2,382 Cr due to heavy reinvestment/working capital",90
BHEL,con,LOW_ROE,"Subdued Return on Equity at 1.1%, below large-cap historical averages",88
BHEL,con,LOW_ICR,Low interest coverage of 1.6x reflects interest burden on operating profit,85
BHEL,con,SLOW_REV_GROWTH,Modest 5-year revenue CAGR of -4.7%,82
BHEL,con,NEGATIVE_PAT_GROWTH,Net profit has contracted over the 5-year historical horizon,85
BHEL,con,LOW_CFO_PAT,"Low cash conversion (CFO/PAT = -13.17), suggesting accrual buildup",80
BHEL,con,HIGH_WC_DAYS,Working capital cycle is extended at 461 days,78
BOSCHLTD,pro,ROE_GT_20,Company has delivered superior Return on Equity of 20.6%,95
BOSCHLTD,pro,DEBT_FREE,Company is virtually debt-free with zero borrowings,98
BOSCHLTD,pro,POSITIVE_FCF,"Generates positive Free Cash Flow of ₹1,536 Cr",92
BOSCHLTD,pro,ATTRACTIVE_DIV_YIELD,Offers an attractive dividend yield of 4.2% (SIMULATED),82
BOSCHLTD,con,PREMIUM_VALUATION,Trades at an elevated valuation multiple of 58.4x P/E (SIMULATED),80
BPCL,pro,ROE_GT_20,Company has delivered superior Return on Equity of 35.5%,95
BPCL,pro,ROCE_GT_20,Strong capital efficiency with ROCE at 28.6%,90
BPCL,pro,POSITIVE_FCF,"Generates positive Free Cash Flow of ₹25,415 Cr",92
BPCL,pro,PAT_CAGR_GT_15,Robust profit growth compounding at 25.8% CAGR over 5 years,88
BPCL,pro,HIGH_CFO_PAT,High cash conversion quality with CFO exceeding reported net profit,85
BPCL,con,PREMIUM_VALUATION,Trades at an elevated valuation multiple of 68.2x P/E (SIMULATED),80
BRITANNIA,pro,ROE_GT_20,Company has delivered superior Return on Equity of 54.1%,95
BRITANNIA,pro,ROCE_GT_20,Strong capital efficiency with ROCE at 47.7%,90
BRITANNIA,pro,POSITIVE_FCF,"Generates positive Free Cash Flow of ₹3,050 Cr",92
BRITANNIA,pro,HIGH_CFO_PAT,High cash conversion quality with CFO exceeding reported net profit,85
BRITANNIA,con,PREMIUM_VALUATION,Trades at an elevated valuation multiple of 63.9x P/E (SIMULATED),80
CANBK,pro,POSITIVE_FCF,"Generates positive Free Cash Flow of ₹13,296 Cr",92
CANBK,pro,REV_CAGR_GT_12,Steady revenue growth compounding at 18.2% CAGR over 5 years,88
CANBK,pro,PAT_CAGR_GT_15,Robust profit growth compounding at 85.8% CAGR over 5 years,88
CANBK,pro,ATTRACTIVE_DIV_YIELD,Offers an attractive dividend yield of 3.8% (SIMULATED),82
CANBK,con,GENERAL_MARKET_CYCLICALITY,Performance subject to sector cyclicality and broader macroeconomic fluctuations,70
CHOLAFIN,pro,REV_CAGR_GT_12,Steady revenue growth compounding at 21.9% CAGR over 5 years,88
CHOLAFIN,pro,PAT_CAGR_GT_15,Robust profit growth compounding at 23.4% CAGR over 5 years,88
CHOLAFIN,pro,ATTRACTIVE_DIV_YIELD,Offers an attractive dividend yield of 2.8% (SIMULATED),82
CHOLAFIN,con,NEGATIVE_FCF,"Free cash flow is negative at ₹-38,538 Cr due to heavy reinvestment/working capital",90
CHOLAFIN,con,LOW_CFO_PAT,"Low cash conversion (CFO/PAT = -10.43), suggesting accrual buildup",80
CIPLA,pro,ROCE_GT_20,Strong capital efficiency with ROCE at 67.6%,90
CIPLA,pro,POSITIVE_FCF,"Generates positive Free Cash Flow of ₹1,152 Cr",92
CIPLA,pro,PAT_CAGR_GT_15,Robust profit growth compounding at 22.7% CAGR over 5 years,88
CIPLA,pro,HIGH_CFO_PAT,High cash conversion quality with CFO exceeding reported net profit,85
